tweetID	tweetURL	user	tweet	tweet_translated	sentiment_Rater1	sentiment_Rater2	sentiment_Rater3	sentiment_Rater4	sentiment_Rater5	sentiment_Rater6	sentiment_textblob	sentiment_VADER	sentiment_roBERTa	sentiment_Rater1_NvsNonN	sentiment_Rater1_PvsNonP	sentiment_Rater2_NvsNonN	sentiment_Rater2_PvsNonP	sentiment_Rater3_NvsNonN	sentiment_Rater3_PvsNonP	sentiment_Rater4_NvsNonN	sentiment_Rater4_PvsNonP	sentiment_Rater5_NvsNonN	sentiment_Rater5_PvsNonP	sentiment_Rater6_NvsNonN	sentiment_Rater6_PvsNonP	sentiment_textblob_NvsNonN	sentiment_textblob_PvsNonP	sentiment_VADER_NvsNonN	sentiment_VADER_PvsNonP	sentiment_roBERTa_NvsNonN	sentiment_roBERTa_PvsNonP	majority_sentiment_human_raters	majority_sentiment_human_raters_NvsNonN	majority_sentiment_human_raters_PvsNonP
1.81E+18	https://x.com/ClownSeekers/status/1808859305803739179	ClownSeekers	🚨Khayelitsha, Cape Town, South Africa🇿🇦 No-Go Zone area‼️ ©️ https://t.co/wIs4vqLh6I #TumiTH #loveisland #TVKVijay #Elections2024 #LiemaPantsi #competition Rulani Sundowns Gauteng Muvhango Edgar's ANC GP https://t.co/RDZgkumiR5'	🚨Khayelitsha, Cape Town, South Africa🇿🇦 No-Go Zone area‼️ ©️ https://t.co/wIs4vqLh6I #TumiTH #loveisland #TVKVijay #Elections2024 #LiemaPantsi #competition Rulani Sundowns Gauteng Muvhango Edgar's ANC GP https://t.co/RDZgkumiR5'	neutral	neutral	negative	neutral	negative	negative	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	negative	non-positive
1.80E+18	https://x.com/Centrust/status/1798329074504663168	Centrust	@yomgqashiyo Khayelitsha has tripled in population in the last 10 years. The DA can't fix the state of South Africa.'	@yomgqashiyo Khayelitsha has tripled in population in the last 10 years. The DA can't fix the state of South Africa.'	negative	negative	negative	negative	neutral	negative	neutral	neutral	negative	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	negative	non-positive
1.77E+18	https://x.com/BantuBo18/status/1773025929624715752	BantuBo18	@goolammv Why do you have to lie that is Kuwait Taxi Rank in Site C Khayelitsha CT and that is not the guy you talking about. Umanga awani?'	@goolammv Why do you have to lie that is Kuwait Taxi Rank in Site C Khayelitsha CT and that is not the guy you talking about. Umanga awani?'	negative	negative	neutral	neutral	neutral	negative	negative	neutral	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	negative	non-positive
1.79E+18	https://x.com/AHT_YssY/status/1787367596259528847	AHT_YssY	@AldrinSampear A glimpse of what is to come under the DA, a burning South Africa. We'll now get to witness Khayelitsha on a full blown scale.'	@AldrinSampear A glimpse of what is to come under the DA, a burning South Africa. We'll now get to witness Khayelitsha on a full blown scale.'	negative	negative	neutral	negative	neutral	negative	positive	neutral	neutral	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	negative	negative	non-positive
1.58E+18	https://x.com/Zitha28519477/status/1579648785344385025	Zitha28519477	@TakaTina1 Is this Khayelitsha site C by N2'	@TakaTina1 Is this Khayelitsha site C by N2'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.77E+18	https://x.com/xebooze/status/1772341232330498241	xebooze	@SAPoliceService You need to deploy more police in khayelitsha site b and sitec c, you need to deploy more police in masiphumelele in fishoek'	@SAPoliceService You need to deploy more police in khayelitsha site b and sitec c, you need to deploy more police in masiphumelele in fishoek'	neutral	neutral	neutral	negative	neutral	neutral	positive	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.83E+18	https://x.com/ta_marah7/status/1832387945493319859	ta_marah7	@BoerSoul @Maps_rza You don't know South Africa, come to Khayelitsha, I'll teach you'	@BoerSoul @Maps_rza You don't know South Africa, come to Khayelitsha, I'll teach you'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.70E+18	https://x.com/SipiwoLolo/status/1704544987944206615	SipiwoLolo	@matsi_moswane Khayelitsha umhlaba ka Codeta. Haibo I'm in Cape Town, should have said you're in Site C, I would have come interview you Mhlekazi.'	@matsi_moswane Khayelitsha umhlaba ka Codeta. Haibo I'm in Cape Town, should have said you're in Site C, I would have come interview you Mhlekazi.'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.66E+18	https://x.com/SandileMakeba/status/1655159613161984006	SandileMakeba	List of the 10 biggest slums in Africa by population 1. Kibera, Kenya 🇰🇪: 700,000 2. Mathare, Kenya 🇰🇪: 500,000 3. Ajegunle, Nigeria 🇳🇬: 500,000 4. Shomolu, Nigeria 🇳🇬: 400,000 5. Khayelitsha, South Africa 🇿🇦: 400,000 6. Cazenga, Angola 🇦🇴: 400,000 7. Makoko, Nigeria 🇳🇬: https://t.co/VQk7UebLsx'	Error in translation	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.85E+18	https://x.com/pluggandhi/status/1850955967581864275	pluggandhi	List biggest #Slums in the world and its population - 1. Orangi Town, Karachi, #Pakistan - 2.7 Million 2. Ciudad Neza, Mexico City, #Mexico - 1.5 Million 3. Dharavi, Mumbai, #India - 1.2 Million 4. Kibera, Nairobi, #Kenya - 900K 5. Khayelitsha, Cape Town, South Africa- 600K'	List biggest #Slums in the world and its population - 1. Orangi Town, Karachi, #Pakistan - 2.7 Million 2. Ciudad Neza, Mexico City, #Mexico - 1.5 Million 3. Dharavi, Mumbai, #India - 1.2 Million 4. Kibera, Nairobi, #Kenya - 900K 5. Khayelitsha, Cape Town, South Africa- 600K'	neutral	neutral	neutral	neutral	negative	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.76E+18	https://x.com/ELFSouthAfrica/status/1757380438241185811	ELFSouthAfrica	ELF on the ground, Khayelitsha we are here. Amandla!! #ELF #TheNextStepIsChange #elfsouthafrica https://t.co/ZauxRsjEU4'	Olf on the Ground, Khayhelsha of Are Here.Power !!#Elf #thenextepischange #elfsouthafricica https://t.co/zauxsjauxsjau4 '	positive	neutral	neutral	neutral	positive	neutral	neutral	neutral	positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	neutral	non-negative	non-positive
1.54E+18	https://x.com/dlokolosimbong1/status/1536695810427129857	dlokolosimbong1	@Rolling_LALA Khayelitsha Island Site c https://t.co/zLD70g2SsJ'	@Rolling_lula Khayelitsha Island site c https://t.co/zld70g2sssss	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.72E+18	https://x.com/Constitution_94/status/1721394595152449837	Constitution_94	@shanecogs Why shacks in Khayelitsha Site C 17 years since the DA led the place?'	@shanecogs Why shacks in Khayelitsha Site C 17 years since the DA led the place?'	negative	neutral	neutral	negative	neutral	neutral	neutral	neutral	neutral	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.63E+18	https://x.com/boriwondo/status/1625756262766870530	boriwondo	@Sillymetal @MDNnewss This happened in Site C, Khayelitsha'	@Sillymetal @MDNnewss This happened in Site C, Khayelitsha'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.65E+18	https://x.com/bewilldered/status/1646889338465144832	bewilldered	South Africa's cities still wear the scars of Apartheid spatial planning, even 30 years later. There have been some victories, e.g. the pedestrian corridor between Sandton and Alexandra, and the MyCitiBus connecting Khayelitsha with the City Bowl.'	South Africa's cities still wear the scars of Apartheid spatial planning, even 30 years later. There have been some victories, e.g. the pedestrian corridor between Sandton and Alexandra, and the MyCitiBus connecting Khayelitsha with the City Bowl.'	neutral	neutral	neutral	positive	negative	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.71E+18	https://x.com/BenMenziwa/status/1706298714438905932	BenMenziwa	@lisah_ncube This is Harare in Cape Town South Africa a Township in Khayelitsha.'	@lisah_ncube This is Harare in Cape Town South Africa a Township in Khayelitsha.'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.66E+18	https://x.com/ActivateZA/status/1662005042264645632	ActivateZA	[SWIPE]. They came as one but they represent the complexities of what it means to live in South Africa as a young person. See highlights from our ACD in community training now on it's final day in Khayelitsha. #WeAREvoting #ThisFreedom #XRepo https://t.co/Z5zCAPvrOj'	[SWIPE]. They came as one but they represent the complexities of what it means to live in South Africa as a young person. See highlights from our ACD in community training now on it's final day in Khayelitsha. #WeAREvoting #ThisFreedom #XRepo https://t.co/Z5zCAPvrOj'	neutral	positive	neutral	neutral	neutral	neutral	positive	neutral	neutral	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.67E+18	https://x.com/tessamuldvarp/status/1674420987931299843	tessamuldvarp	If you're in Cape Town, see this film! Tomorrow at V&amp;A or Saturday at Bertha Khayelitsha. It's about the SKA radio telescope, the Karoo, the history of the universe, the relationship of science and Indigenous knowledge, postapartheid South Africa, and the spiritual realms.'	If you're in Cape Town, see this film! Tomorrow at V&amp;A or Saturday at Bertha Khayelitsha. It's about the SKA radio telescope, the Karoo, the history of the universe, the relationship of science and Indigenous knowledge, postapartheid South Africa, and the spiritual realms.'	neutral	neutral	neutral	positive	positive	positive	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	positive	non-negative	positive
1.66E+18	https://x.com/buhle_sithela/status/1661818608119316480	buhle_sithela	Vuma Pop-up Cinema 🎪🇿🇦🎭 Lunchtime, catering served in Khayelitsha. Child development, Nonprofit. South Africa. 🍽️🌄🙏 https://t.co/fl6Vkd4vzP'	Vuma Pop-up Cinema 🎪🇿🇦🎭 Lunchtime, catering served in Khayelitsha. Child development, Nonprofit. South Africa. 🍽️🌄🙏 https://t.co/fl6Vkd4vzP'	neutral	neutral	neutral	neutral	positive	positive	neutral	neutral	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	neutral	non-negative	non-positive
1.76E+18	https://x.com/AceRawkus/status/1763765953286877489	AceRawkus	@Gift_Makoti_ @Tonyjanuary Next time you're in Khayelitsha, go to Site C. It's very chilled.'	@Gift_Makoti_ @Tonyjanuary Next time you're in Khayelitsha, go to Site C. It's very chilled.'	neutral	positive	positive	positive	positive	positive	positive	neutral	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	positive	non-negative	positive
1.60E+18	https://x.com/Zongolo5/status/1595376803853570049	Zongolo5	@BongMelz Yazi sisi you remind me something there was this time she outburst in Site C Khayelitsha eKapa shawting a community member after he asked her about RDP houses she promised to build in the area yhoo she became very angry.'	@BongMelz Yazi sisi you remind me something there was this time she outburst in Site C Khayelitsha eKapa shawting a community member after he asked her about RDP houses she promised to build in the area yhoo she became very angry.'	negative	negative	negative	negative	negative	negative	negative	positive	negative	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.73E+18	https://x.com/WCLiveTraffic/status/1734580976679096781	WCLiveTraffic	SHACKS ALIGHT Site C Khayelitsha All services on scene Approach with caution ⚠️ Please allow Emergency Services right of way #JG #WCLiveTraffic #Bosbeer2006 #TaurusMedic #EWNTraffic #BokRadio #MikeCharlie1'	SHACKS ALIGHT Site C Khayelitsha All services on scene Approach with caution ⚠️ Please allow Emergency Services right of way #JG #WCLiveTraffic #Bosbeer2006 #TaurusMedic #EWNTraffic #BokRadio #MikeCharlie1'	neutral	neutral	negative	negative	negative	negative	positive	positive	neutral	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	negative	negative	non-positive
1.81E+18	https://x.com/TinaChigwada22/status/1812923631208415456	TinaChigwada22	@daddyhope Well South Africa has a functioning national economy, but the family economy especially among the blacks is deplorable, even in Capetown which they sell as good good governance, life in blacks communities like Khayelitsha, Phillipe, Nyanga, Dunoon, Strand etc is so bad.'	@daddyhope Well South Africa has a functioning national economy, but the family economy especially among the blacks is deplorable, even in Capetown which they sell as good good governance, life in blacks communities like Khayelitsha, Phillipe, Nyanga, Dunoon, Strand etc is so bad.'	negative	negative	negative	negative	negative	negative	positive	positive	negative	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.65E+18	https://x.com/Survivorexit/status/1648974598078099457	Survivorexit	All day tournament in Site c #Khayelitsha thanks to @CityofCT and council ward 18 https://t.co/qXsPjZE0OX'	All day tournament in Site c #Khayelitsha thanks to @CityofCT and council ward 18 https://t.co/qXsPjZE0OX'	neutral	neutral	positive	positive	positive	negative	positive	positive	positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	non-positive
1.69E+18	https://x.com/ScrollaAfrica/status/1689138597406875648	ScrollaAfrica	The Nolungile Clinic in Site C, a vital lifeline for the Khayelitsha community, was burnt to the ground as the unrest born out of last week’s taxi strike continues to spread. https://t.co/R0QnuFQe0e'	The Nolungile Clinic in Site C, a vital lifeline for the Khayelitsha community, was burnt to the ground as the unrest born out of last week’s taxi strike continues to spread. https://t.co/R0QnuFQe0e'	negative	neutral	negative	negative	negative	negative	positive	positive	negative	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.81E+18	https://x.com/oat2089/status/1806116827870765485	oat2089	No-Go Zones | Khayelitsha, South Africa | Enter at Your Own Risk | Free ... https://t.co/ZmT0APzHFI via @YouTube'	No-Go Zones | Khayelitsha, South Africa | Enter at Your Own Risk | Free ... https://t.co/ZmT0APzHFI via @YouTube'	neutral	negative	neutral	negative	negative	negative	positive	positive	neutral	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	negative	negative	non-positive
1.80E+18	https://x.com/ngoepeamos48/status/1797469677435961525	ngoepeamos48	@SaxXaba @MoyaProf Every province in South Africa is having its own “Khayelitsha’s”. Johannesburg is having many eg. Alexandra, Orlando East, Munziville (white squatter camp), Bekkersdal. Eldorado Park is as worse the Cape Flats. There are more black supporters in the DA than white supporters. 🤷🏽‍♂️🤷🏽‍♂️'	@SaxXaba @MoyaProf Every province in South Africa is having its own “Khayelitsha’s”. Johannesburg is having many eg. Alexandra, Orlando East, Munziville (white squatter camp), Bekkersdal. Eldorado Park is as worse the Cape Flats. There are more black supporters in the DA than white supporters. 🤷🏽‍♂️🤷🏽‍♂️'	negative	negative	neutral	negative	negative	negative	positive	positive	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.58E+18	https://x.com/MelikhayaYalwa/status/1577690238406856705	MelikhayaYalwa	@geordinhl and @MbalulaFikile who suppose to clean a train station at Khayelitsha Site C Nolungile Train Station ? https://t.co/wLd6sKeFa0'	@geordinhl and @MbalulaFikile who suppose to clean a train station at Khayelitsha Site C Nolungile Train Station ? https://t.co/wLd6sKeFa0'	neutral	neutral	neutral	neutral	neutral	negative	positive	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.63E+18	https://x.com/KhayelitshaE/status/1626846326267822081	KhayelitshaE	How can we want a peaceful nation but our leaders are not peaceful.#SouthAfrica'	How can we want a peaceful nation but our leaders are not peaceful.#SouthAfrica'	negative	negative	neutral	negative	negative	negative	positive	positive	negative	negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.63E+18	https://x.com/Haz69330300/status/1632210671768051712	Haz69330300	@MightiJamie so, do you think the ANC or EFF, can save Khayelitsha? from whatever it needs to be saved from: is that place, like the overwhelming majority of South Africa, "saveable"? or is it another SA unsavable basket case?'	@MightiJamie so, do you think the ANC or EFF, can save Khayelitsha? from whatever it needs to be saved from: is that place, like the overwhelming majority of South Africa, "saveable"? or is it another SA unsavable basket case?'	neutral	negative	neutral	negative	neutral	negative	positive	positive	negative	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.80E+18	https://x.com/Hanasaku_Yuri/status/1796990076418773484	Hanasaku_Yuri	@DerpyDagon I lived in this area (Somerset West) when I lived in South Africa, and travelling down the N2 and seeing Khayelitsha (Cape Town's slums) from the roadway as you go from the wealthy suburbs to the wealthy downtown is astounding, humbling, and depressing all at the same time. https://t.co/1zK3xNbMzr'	@DerpyDagon I lived in this area (Somerset West) when I lived in South Africa, and travelling down the N2 and seeing Khayelitsha (Cape Town's slums) from the roadway as you go from the wealthy suburbs to the wealthy downtown is astounding, humbling, and depressing all at the same time. https://t.co/1zK3xNbMzr'	negative	neutral	neutral	neutral	neutral	negative	positive	positive	neutral	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.80E+18	https://x.com/Bantu_Kubo/status/1801550178211569825	Bantu_Kubo	@LimaneDurie2002 I know Site C and Site B are very dangerous. To be honest, I've never really heard a lot of stories nge Town Two except those small petty crimes by lamajita we Tik here and there. But asoze ndiyithathe lo chance mhlobam. Kum, Khayelitsha yi Khayelitsha.'	@LimaneDurie2002 I know Site C and Site B are very dangerous. To be honest, I've never really heard a lot of stories nge Town Two except those small petty crimes by lamajita we Tik here and there. But asoze ndiyithathe lo chance mhlobam. Kum, Khayelitsha yi Khayelitsha.'	negative	neutral	neutral	negative	negative	negative	negative	positive	negative	negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	negative	non-positive	negative	negative	non-positive
1.84E+18	https://x.com/awthiSA/status/1841629116287877357	awthiSA	Robin Renwick⬇️ The reason Soweto, Tembisa, Khayelitsha, Gugulethu and Sebokeng South African 🇿🇦 natives have no farm land. Read about him. Thank you 🙏🏼'	Robin Renwick⬇️ The reason Soweto, Tembisa, Khayelitsha, Gugulethu and Sebokeng South African 🇿🇦 natives have no farm land. Read about him. Thank you 🙏🏼'	neutral	negative	neutral	neutral	neutral	negative	neutral	positive	neutral	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.78E+18	https://x.com/Zaddy_Bruh/status/1775482405677064703	Zaddy_Bruh	@Eye_vm @Patriot_S_A The only difference is you'll never find South Africans from Khayelitsha in Zimbabwe Yet you Zimbambweans from Bulawayo are all over South Africa, acting better 🤣'	@Eye_vm @Patriot_S_A The only difference is you'll never find South Africans from Khayelitsha in Zimbabwe Yet you Zimbambweans from Bulawayo are all over South Africa, acting better 🤣'	neutral	negative	neutral	neutral	neutral	neutral	positive	positive	neutral	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.75E+18	https://x.com/MohauKgolokwane/status/1746143706900533405	MohauKgolokwane	Dr Khehlelezi sending a message to Cape Town MK supporters as they gather at Mew Way Site C Khayelitsha https://t.co/GiW47VOg2r'	Dr Khehlelezi sending a message to Cape Town MK supporters as they gather at Mew Way Site C Khayelitsha https://t.co/GiW47VOg2r'	neutral	neutral	neutral	neutral	neutral	neutral	neutral	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.71E+18	https://x.com/iReportSANews/status/1713503888660103545	iReportSANews	What you need to know about the viral fitness trainer, Nkululeko Dlamini Full Story: https://t.co/nOUyc2CdKC Doctor Khumalo South Africans Sam Deep Coloureds #FRAvRSA Mampintsha All Blacks Khayelitsha Coloured https://t.co/zMnzguoN6A'	What you need to know about the viral fitness trainer, Nkululeko Dlamini Full Story: https://t.co/nOUyc2CdKC Doctor Khumalo South Africans Sam Deep Coloureds #FRAvRSA Mampintsha All Blacks Khayelitsha Coloured https://t.co/zMnzguoN6A'	neutral	neutral	neutral	neutral	neutral	neutral	positive	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.61E+18	https://x.com/African_TimesSA/status/1606188301261553665	African_TimesSA	Police Minister Bheki Cele said that he would speak to the respective ministers about the bad living conditions he witnessed in Site C, Khayelitsha on Thursday. Cele visited Khayelitsha as part of his Safer Festive Season Campaign Roadshow. #SAPS https://t.co/WrPwMxjBio'	Police Minister Bheki Cele said that he would speak to the respective ministers about the bad living conditions he witnessed in Site C, Khayelitsha on Thursday. Cele visited Khayelitsha as part of his Safer Festive Season Campaign Roadshow. #SAPS https://t.co/WrPwMxjBio'	neutral	positive	negative	positive	neutral	neutral	negative	positive	neutral	non-negative	non-positive	non-negative	positive	negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.65E+18	https://x.com/WinfordBaloyi/status/1650835700030291968	WinfordBaloyi	Give this dance a name 😂 Mbalula Chris Excel Uncle Waffles Mohale South Africa Mpho Phalatse Ekurhuleni Al Ahly Gwede The ANC Tshwane Khayelitsha Vinny Xoli Melita Bulawayo Finland https://t.co/bkHrY0h43v'	Give This Dance A Name 😂 Mbalen Bugela Waffshane Al AcShyxa Vinny Xoli Melawo Finland Https://t.co/bkhryh4h43V '	neutral	neutral	positive	neutral	neutral	positive	neutral	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.67E+18	https://x.com/UthandoSouthAfr/status/1668143754757173248	UthandoSouthAfr	Our friends at Timeless Safaris stopped by the Khayelitsha Urban Gardens, who are empowering local residents by providing them with the knowledge and resources to grow their own food and create vibrant green spaces. 🌱💚 and fostering a sense of community unity. 🥕🍅 #UthandoSA https://t.co/C0ltpnHVlm'	Our friends at Timeless Safaris stopped by the Khayelitsha Urban Gardens, who are empowering local residents by providing them with the knowledge and resources to grow their own food and create vibrant green spaces. 🌱💚 and fostering a sense of community unity. 🥕🍅 #UthandoSA https://t.co/C0ltpnHVlm'	positive	positive	positive	positive	positive	positive	positive	positive	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.84E+18	https://x.com/TwaRSA26/status/1839835980468982020	TwaRSA26	@FitJoe44 @AfricaFactsZone You think Khayelitsha and Gauteng is South Africa Neh?? 😂😂😂 I'm from Limpopo bruh we don't have no sharks this side🚮'	@FitJoe44 @AfricaFactsZone You think Khayelitsha and Gauteng is South Africa Neh?? 😂😂😂 I'm from Limpopo bruh we don't have no sharks this side🚮'	neutral	neutral	neutral	neutral	neutral	positive	neutral	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.80E+18	https://x.com/Sylvest25981891/status/1804865452570448247	Sylvest25981891	No-Go Zones | Khayelitsha, South Africa | Enter at Your Own Risk | Free ... https://t.co/0us6gHSbwG via @YouTube'	No-Go Zones | Khayelitsha, South Africa | Enter at Your Own Risk | Free ... https://t.co/0us6gHSbwG via @YouTube'	neutral	negative	neutral	negative	negative	positive	positive	positive	neutral	non-negative	non-positive	negative	non-positive	non-negative	non-positive	negative	non-positive	negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	negative	non-negative	non-positive
